titles,summary,genre,year
I Can Only Imagine,"The inspiring and unknown true story behind MercyMe's beloved, chart topping song that brings ultimate hope to so many is a gripping reminder of the power of true forgiveness.","Biography, Drama, Family",2018
The Ballad of Buster Scruggs,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","Comedy, Drama, Musical",2018
The Professor and the Madman,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.","Biography, Drama",2019
Blue Jay,"Meeting by chance when they return to their tiny California hometown, two former high-school sweethearts reflect on their shared past.","Drama, Romance",2016
Lucky,Lucky follows the spiritual journey of a 90-year-old atheist and the quirky characters that inhabit his off the map desert town.,"Comedy, Drama, Western",2017
Brigsby Bear,"After being freed from his life in an underground bunker, a man sets out to make a movie of the only TV show he has ever known.","Comedy, Drama",2017
The Shape of Water,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.","Adventure, Drama, Fantasy",2017
Official Secrets,The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.,"Biography, Crime, Drama",2019
Detroit,Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.,"Crime, Drama, History",2017
Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,"Horror, Thriller",2016
Shot Caller,A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.,"Crime, Drama, Thriller",2017
Christopher Robin,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.","Comedy, Drama, Family",2018
20th Century Women,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.","Comedy, Drama",2016
The Last Black Man in San Francisco,A young man searches for home in the changing city that seems to have left him behind.,Drama,2019
13 Hours,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","Action, Drama, History",2016
The Lego Batman Movie,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","Animation, Action, Comedy",2017
Okja,"A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","Action, Adventure, Drama",2017
Snowden,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.","Biography, Crime, Drama",2016
The Walk,"In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers.","Adventure, Biography, Drama",2015
The End of the Tour,"The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'","Biography, Drama",2015
Spare Parts,"Four Hispanic high school students form a robotics club. With no experience, 800 bucks, used car parts and a dream, this rag tag team goes up against the country's reigning robotics champion, MIT.",Drama,2015
A Beautiful Day in the Neighborhood,Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.,"Biography, Drama",2019
Fantastic Beasts and Where to Find Them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,"Adventure, Family, Fantasy",2016
The Conjuring 2,Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,"Horror, Mystery, Thriller",2016
The Hundred-Foot Journey,The Kadam family leaves India for France where they open a restaurant directly across the road from Madame Mallory's Michelin-starred eatery.,"Comedy, Drama",2014
Chef,"A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.","Adventure, Comedy, Drama",2014
Shaun the Sheep Movie,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.","Animation, Adventure, Comedy",2015
The Fundamentals of Caring,A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,"Comedy, Drama",2016
Anomalisa,A man crippled by the mundanity of his life experiences something out of the ordinary.,"Animation, Comedy, Drama",2015
Avengers: Age of Ultron,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Action, Adventure, Sci-Fi",2015
Blue Jasmine,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",Drama,2013
Finding Dory,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","Animation, Adventure, Comedy",2016
The Book of Life,"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.","Animation, Adventure, Comedy",2014
American Sniper,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.","Action, Biography, Drama",2014
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","Action, Crime, Drama",2016
Beasts of the Southern Wild,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.","Adventure, Drama, Fantasy",2012
Rocketman,A musical fantasy about the fantastical human story of Elton John's breakthrough years.,"Biography, Drama, Music",2019
Flight,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.","Drama, Thriller",2012
